IMEI,Year,Month,Day,Hour,Minute,Latitude,Longitude,Temperature,Voltage Battery,AtmPress,FormatID
300234010959690,2011,10,23,16,0,68.1002,-60.533,0.4,14,-99,28
300234010959690,2011,8,30,19,0,73.2736,-75.0268,3.8,14,-99,28
300234010959690,2011,9,11,21,0,72.4008,-73.8834,1.1,14,-99,28
300234010959690,2011,11,2,12,0,67.0568,-58.1546,0.7,14,-99,28
300234010959690,2011,8,7,18,0,74.2338,-78.5182,4.4,14,-99,28
300234010959690,2011,8,29,19,0,73.187,-75.216,3.4,14,-99,28
300234010959690,2011,11,11,19,0,64.3406,-57.6592,1,14,-99,28
300234010959690,2011,8,6,10,0,74.2516,-78.6508,2.8,14,-99,28
300234010959690,2011,8,9,4,0,74.3018,-79.282,3.8,14,-99,28
300234010959690,2011,9,30,5,0,70.9234,-66.5118,2.8,14,-99,28
300234010959690,2011,8,4,12,0,74.0286,-77.821,4.3,14,-99,28
300234010959690,2011,10,7,12,0,69.4798,-63.184,1.5,14,-99,28
300234010959690,2011,9,26,18,0,71.2526,-67.6402,3,14,-99,28
300234010959690,2011,11,26,14,0,63.3136,-59.5796,0.1,14,-99,28
300234010959690,2011,7,30,20,10,73.947,-81.3634,5.2,14,-99,28
300234010959690,2011,11,25,16,0,63.6026,-59.679,0,14,-99,28
300234010959690,2011,7,31,2,50,73.8882,-81.1474,5.4,13.8,-99,28
300234010959690,2011,9,17,23,0,72.2398,-69.9948,4,14,-99,28
300234010959690,2011,11,19,5,0,64.9502,-60.2168,-0.9,14,-99,28
300234010959690,2011,10,13,4,0,68.524,-62.3034,1.3,14,-99,28
300234010959690,2011,9,4,12,0,73.1652,-75.7968,2.3,14,-99,28
300234010959690,2011,9,21,6,0,71.6964,-67.8296,2.9,14,-99,28
300234010959690,2011,9,4,15,0,73.1602,-75.7854,3.2,14,-99,28
300234010959690,2011,10,26,15,0,68.152,-58.9112,0.8,14,-99,28
300234010959690,2011,11,30,12,0,62.4276,-58.5644,1.6,14,-99,28
300234010959690,2011,9,19,0,0,71.9922,-68.8432,3.6,14,-99,28
300234010959690,2011,9,18,18,0,72.0542,-69.114,3.7,14,-99,28
300234010959690,2011,10,10,3,0,69.1602,-62.4718,1.3,14,-99,28
300234010959690,2011,8,22,4,0,73.2226,-76.1764,1.7,14.2,-99,28
300234010959690,2011,8,19,22,0,73.397,-76.7958,4.3,14,-99,28
300234010959690,2011,10,10,18,0,69.2132,-62.693,1.3,14,-99,28
300234010959690,2011,9,9,19,0,72.6358,-75.2322,1.5,14,-99,28
300234010959690,2011,11,12,4,0,64.27,-57.986,1,14,-99,28
300234010959690,2011,8,9,18,0,74.2484,-79.054,3.1,14,-99,28
300234010959690,2011,10,26,1,0,68.0628,-59.0162,0.6,14,-99,28
300234010959690,2011,8,16,1,0,73.8372,-78.8772,3.5,14,-99,28
300234010959690,2011,8,5,22,0,74.2072,-78.4454,3.4,14,-99,28
300234010959690,2011,9,3,13,0,73.144,-75.5778,3.5,14,-99,28
300234010959690,2011,10,8,18,0,69.2988,-62.8316,1.6,14,-99,28
300234010959690,2011,9,3,17,0,73.1474,-75.6572,5.5,14,-99,28
300234010959690,2011,9,10,7,0,72.5522,-75.0688,0.7,14,-99,28
300234010959690,2011,8,19,6,0,73.4692,-76.724,0.9,14,-99,28
300234010959690,2011,11,24,21,0,63.8244,-59.8916,-0.2,14,-99,28
300234010959690,2011,11,11,22,0,64.3094,-57.758,1.1,14,-99,28
